sección censal,renta media
2807904006,29364.0
2807904007,29364.0
2807904008,24388.0
2807904009,29364.0
2807904010,29364.0
2807904011,26957.0
2807904012,29364.0
2807904013,29364.0
2807904014,23982.0
2807904015,28574.0
2807904016,25351.0
2807904017,25641.0
2807904018,22919.0
2807904019,24391.0
2807904020,24521.0
2807904021,21482.0
2807904023,24611.0
2807904024,18377.0
2807904025,20153.0
2807904026,19938.0
2807904027,17732.0
2807904028,21084.0
2807904029,26089.0
2807904030,22007.0
2807904031,23776.0
2807904032,18852.0
2807904033,20044.0
2807904034,20472.0
2807904035,20173.0
2807904036,21171.0
2807904037,19825.0
2807904038,20440.0
2807904039,22348.0
2807904040,24243.0
2807904041,18297.0
2807904042,28263.0
2807904043,21498.0
2807904044,20550.0
2807904045,18921.0
2807904046,19008.0
2807904047,18690.0
2807904048,17444.0
2807904049,15515.0
2807904050,16269.0
2807904051,15860.0
2807904052,16788.0
2807904053,16361.0
2807904054,18557.0
2807904055,19170.0
2807904056,21991.0
2807904057,18109.0
2807904058,18451.0
2807904060,15973.0
2807904061,21573.0
2807904062,19103.0
2807904063,17151.0
2807904064,22569.0
2807904065,19144.0
2807904067,20490.0
2807904068,20392.0
2807904069,18878.0
2807904070,17085.0
2807904071,17298.0
2807904072,18962.0
2807904073,21909.0
2807904074,19321.0
2807904075,22157.0
2807904076,23277.0
2807904077,25649.0
2807904078,24505.0
2807904079,22284.0
2807904080,26305.0
2807904081,24843.0
2807904082,21406.0
2807904083,19397.0
2807904084,19363.0
2807904085,17709.0
2807904086,19934.0
2807904087,19711.0
2807904088,19146.0
2807904089,16524.0
2807904090,17788.0
2807904091,16545.0
2807904092,19187.0
2807904093,15612.0
2807904094,20818.0
2807904095,17901.0
2807904096,23318.0
2807904097,26920.0
2807904098,25217.0
2807904099,18457.0
2807904100,22317.0
2807904101,18050.0
2807904102,18050.0
2807904103,19046.0
2807904104,19168.0
2807904105,21828.0
2807904106,16982.0
2807904107,24007.0
2807904108,20474.0
2807904109,20771.0
2807904110,20777.0
2807904111,24068.0
2807904112,23293.0
2807904113,27380.0
2807904114,29364.0
2807904115,29364.0
2807904116,29364.0
2807904117,29364.0
2807904118,29364.0
2807904119,29364.0
2807904120,29364.0
2807904121,29145.0
2807904123,25365.0
2807904124,22243.0
2807904126,26363.0
2807904127,23136.0
2807904128,19597.0
2807904129,28596.0
2807904130,28215.0
2807904131,
2807905001,29364.0
2807905002,29364.0
2807905003,29364.0
2807905004,29364.0
2807905005,29364.0
2807905006,29364.0
2807905007,29277.0
2807905008,29364.0
2807905009,29364.0
2807905010,29364.0
2807905011,19704.0
2807905012,20897.0
2807905013,27047.0
2807905014,18156.0
2807905015,20376.0
2807905016,16089.0
2807905017,16569.0
2807905018,15948.0
2807905019,16310.0
2807905020,17526.0
2807905021,14183.0
2807905022,15884.0
2807905023,20626.0
2807905024,17981.0
2807905025,17951.0
2807905026,19901.0
2807905027,17242.0
2807905028,16054.0
2807905029,15352.0
2807905030,14646.0
2807905031,18385.0
2807905032,17802.0
2807905033,22549.0
2807905034,21779.0
2807905035,20350.0
2807905036,23099.0
2807905037,24516.0
2807905038,25355.0
2807905039,22710.0
2807905040,15956.0
2807905041,12602.0
2807905042,16922.0
2807905043,23964.0
2807905044,17050.0
2807905045,15849.0
2807905046,16269.0
2807905047,15075.0
2807905048,18201.0
2807905049,23416.0
2807905051,22217.0
2807905052,23857.0
2807905053,27594.0
2807905054,26163.0
2807905055,22240.0
2807905056,19237.0
2807905057,19406.0
2807905058,19927.0
2807905059,17360.0
2807905060,18958.0
2807905061,27240.0
2807905062,28224.0
2807905063,24485.0
2807905064,29364.0
2807905065,21924.0
2807905066,29364.0
2807905067,27180.0
2807905068,29364.0
2807905069,29364.0
2807905070,29364.0
2807905072,28170.0
2807905073,29364.0
2807905074,29364.0
2807905075,29364.0
2807905076,29364.0
2807905077,29364.0
2807905078,29364.0
2807905079,22230.0
2807905080,18735.0
2807905081,24712.0
2807905082,29364.0
2807905083,19309.0
2807905084,24210.0
2807905085,29364.0
2807905086,19888.0
2807905087,22190.0
2807905088,22855.0
2807905089,23684.0
2807905090,18566.0
2807905091,17702.0
2807905092,13876.0
2807905094,22698.0
2807905095,27267.0
2807905096,19264.0
2807905097,26566.0
2807905098,16892.0
2807905099,21528.0
2807905100,28485.0
2807905101,20897.0
2807905102,27501.0
2807905103,
2807905104,
2807906001,13761.0
2807906002,12771.0
2807906003,13655.0
2807906004,11029.0
2807906005,10984.0
2807906006,11126.0
2807906007,13254.0
2807906008,11964.0
2807906009,14542.0
2807906010,18552.0
2807906011,12216.0
2807906012,11563.0
2807906013,10764.0
2807906014,12737.0
2807906015,10112.0
2807906016,10967.0
2807906017,10804.0
2807906018,12058.0
2807906019,9284.0
2807906021,10542.0
2807906023,18363.0
2807906024,17735.0
2807906025,12242.0
2807906026,17059.0
2807906027,22457.0
2807906028,29364.0
2807906029,25220.0
2807906031,22923.0
2807906032,15061.0
2807906033,13955.0
2807906034,13852.0
2807906035,12204.0
2807906036,13669.0
2807906037,13719.0
2807906038,27781.0
2807906039,24797.0
2807906040,26967.0
2807906041,19092.0
2807906042,14737.0
2807906043,15749.0
2807906044,20258.0
2807906045,19594.0
2807906046,25822.0
2807906048,25109.0
2807906049,21488.0
2807906050,18752.0
2807906051,21235.0
2807906052,16987.0
2807906053,15865.0
2807906054,15940.0
2807906056,12448.0
2807906057,16883.0
2807906058,18997.0
2807906059,25429.0
2807906060,17695.0
2807906061,18690.0
2807906062,29364.0
2807906063,29364.0
2807906064,29364.0
2807906065,29364.0
2807906066,20533.0
2807906067,14840.0
2807906068,14096.0
2807906069,14937.0
2807906070,21775.0
2807906071,28049.0
2807906072,19226.0
