ID,Value,C,D,E,F,G,H,I
17086,17086,PSOE,31.93,28.44,15.15,12.35,5.83,4.66
18052,18052,PSOE,29.3,13.46,17.49,17.14,11.48,8.13
17090,17090,PSOE,27.39,24.08,15.81,17.28,6.62,6.43
17093,17093,PSOE,29.07,16.7,18.66,21.69,6.07,6.07
11188,11188,PSOE,28.06,21.52,16.74,10.66,14.59,6.74
17080,17080,PSOE,30.9,21.23,11.57,18.42,9.06,7.23
17048,17048,PSOE,36.11,13.18,14.31,18.86,7.87,7.96
17095,17095,PSOE,33.87,23.5,17.74,13.82,4.38,5.3
17094,17094,PSOE,34.89,24.08,15.48,13.51,4.91,6.39
17092,17092,PP,25.58,25.97,17.83,15.7,7.36,5.04
17104,17104,PSOE,32.05,17.62,13.21,18.37,9.18,7.31
17021,17021,PSOE,40,9,24.5,18,3.75,3.25
18049,18049,PSOE,26.81,15.56,15.62,17.35,11.31,10.83
11191,11191,PSOE,22.82,21.27,18.74,15.57,10.59,8.88
11186,11186,PSOE,30.03,16.31,15.64,19.35,7.99,8.21
18058,18058,PSOE,27.95,15.71,16.7,17.59,10.98,8.75
12102,12102,PSOE,29.61,16.1,17.32,15.32,10.3,8.23
12101,12101,PSOE,28.61,15.76,18.67,14.76,11.55,7.93
12099,12099,PSOE,41.91,11.51,16.91,18.17,4.68,4.68
11189,11189,PSOE,30.24,15.5,16.93,17.52,9.18,8
12105,12105,PSOE,27.64,18.69,20.43,12.95,13.48,5.07
11155,11155,PSOE,28.19,15.12,19.4,16.15,11.32,8.08
12106,12106,PSOE,27.11,19.15,20.73,11.03,11.19,8.04
12016,12016,PSOE,32.72,16.36,15.9,16.48,9.95,6.41
18060,18060,PSOE,24.39,15.66,16.77,18.36,12.89,9.42
18063,18063,PSOE,25.43,12.92,17,21.56,10.09,10.71
12109,12109,PSOE,31.57,17.23,17.47,13.49,9.04,8.55
12104,12104,PSOE,28.8,20.78,15.19,13.85,10.81,8.51
18056,18056,PSOE,27.17,12.54,14.85,22.77,11.88,8.03
11152,11152,PSOE,30.36,21.71,17.56,13.33,6.8,7.68
12005,12005,PSOE,40.18,14.74,11.93,17.37,5.44,8.07
11151,11151,PSOE,33.66,19.65,16.73,14.59,7.59,4.86
11154,11154,PSOE,33.33,19.25,17.86,16.87,6.94,3.57
18053,18053,PSOE,24.83,11.71,16.96,21.24,12.15,9.97
12018,12018,PSOE,43.89,9.26,16.51,18.79,5.5,4.03
12037,12037,PSOE,44.3,9.93,16.29,19.06,3.91,4.23
12023,12023,PSOE,44.72,10.89,14.8,16.26,5.37,5.04
12013,12013,PSOE,46.55,9.77,13.41,16.48,4.02,6.7
12014,12014,PSOE,42.69,10.44,13.09,18.98,4.93,6.45
12015,12015,PSOE,49.26,10.19,10.74,13.52,6.67,8.15
12006,12006,PSOE,36.71,18.69,11.04,17.34,5.18,7.66
18054,18054,PSOE,26.78,16.19,16.06,16.4,12.39,9.55
12100,12100,PSOE,37.58,15.21,16.91,15.34,5.59,7.15
11153,11153,PSOE,30.79,23.43,15.8,16.21,7.49,4.09
12003,12003,PSOE,36.73,15.43,13.73,19.29,5.56,7.41
