ID,Value,C,D,E,F,G,H,I
06026,6026,PP,21.96,30.67,18.87,10.89,8.35,6.53
06025,6025,PSOE,28.32,25,13.94,15.04,9.29,6.64
20092,20092,PSOE,30.7,28.1,12.42,15.58,5.64,5.64
05047,5047,PP,21.23,27.91,13.79,14.66,12.07,8.3
05044,5044,PP,21.44,29.41,14.86,14.86,10.4,5.94
05009,5009,PP,10.86,50.07,22,4.09,9.03,2.26
05046,5046,PP,23.87,29.13,15.56,10.94,11.25,7.15
09034,9034,PP,10.66,46.21,20.21,5.43,10.76,4.21
05023,5023,PP,19.28,34.22,18.22,9.64,11.33,5.93
06032,6032,PSOE,28.08,23.37,14.13,13.04,9.96,8.33
20099,20099,PP,24.57,31.92,17.99,7.87,10.99,4.93
09088,9088,PP,15.67,36.05,23.12,6.08,12.7,4.49
05048,5048,PP,21.69,34.53,11.88,12.98,9.25,8.01
15143,15143,PP,16.01,42.08,17.33,5.36,13.28,4.37
20072,20072,PSOE,30.53,16.82,15.99,15.47,11.53,7.27
20101,20101,PP,21.27,33.73,16.45,7.99,12.57,5.64
20093,20093,PP,20.44,35.33,19.85,10.95,7.01,4.67
04114,4114,PP,5.48,62.35,22.61,2.56,5.13,1.4
07053,7053,PP,25.77,28.7,14.54,11.73,7.78,8.93
20008,20008,PSOE,36.99,11.82,11.32,23.14,6.42,7.77
07049,7049,PP,18.04,36.96,19.78,7.17,11.52,4.57
04104,4104,PP,24.74,36.67,15.76,6.77,10.46,3.98
15077,15077,PSOE,35.16,25.46,9.71,11.54,9.71,5.86
20027,20027,PSOE,33.71,17.17,15.57,18.46,7.38,5.3
04116,4116,PP,9.11,48.75,26.65,3.19,8.43,2.96
07079,7079,PP,19.54,34.54,23.15,7.02,7.59,7.02
15078,15078,PSOE,38.56,21.54,11.44,17.29,4.26,4.26
15049,15049,PSOE,32.3,19.34,15.57,17.54,7.54,5.41
07048,7048,PP,19.73,33.56,18.97,9.02,9.95,6.75
06121,6121,PP,26.28,30.93,13.46,12.5,6.57,8.01
05055,5055,PP,14.81,42.34,22.84,3.65,12.2,3.23
15156,15156,PP,22.14,30.35,18.41,10.7,9.83,6.09
05069,5069,PP,5.61,54.79,26.22,1.99,9.58,1.08
06063,6063,PP,9.12,52.55,23.97,3.16,8.52,1.34
06056,6056,PSOE,26.84,26.64,16.4,12.52,8.75,6.76
09077,9077,PP,21.12,35.78,14.82,8.52,11.41,7.16
21004,21004,PP,22.18,33.84,16.73,11.28,9.38,5.7
06062,6062,PP,11.86,47.21,23.87,2.11,10.73,3.02
16004,16004,PP,9.25,56.23,21.46,1.53,8.82,1.7
06057,6057,PP,23.8,29.08,19.51,10.31,9.45,6.13
06115,6115,PSOE,36.4,19.46,14.44,13.39,7.53,5.86
05053,5053,PP,17.75,40.08,18.91,6.67,11.32,3.49
16006,16006,PP,22.36,36.04,15.43,8.11,10.55,5.18
21007,21007,PP,23.38,33.92,16.12,8.1,10.13,5.99
09089,9089,PP,8.73,51.81,23.8,1.51,10.44,2.51
06059,6059,PP,12.23,44.27,23.07,4.18,10.68,4.64
09076,9076,PSOE,30.49,27.58,17.94,9.87,6.05,6.73
09074,9074,PP,19.83,34.91,22.44,8.48,6.48,5.24
06124,6124,PSOE,26.3,23.03,15.74,18.23,8.83,6.91
21001,21001,PP,19.91,33.33,21.43,7.14,11.58,4.65
05081,5081,PP,14.02,42.7,22.22,5.45,10.46,3.34
05079,5079,PP,14.14,43.96,20.54,5.59,10.99,3.06
05080,5080,PP,20.12,34.32,20.12,8.27,10.45,4.37
08104,8104,PSOE,30.71,24.86,14.63,11.88,8.59,7.13
08043,8043,PP,21.2,40.77,15.42,6.69,9.74,4.36
08039,8039,PP,21.2,42.54,12.69,5.02,12.69,4.18
08033,8033,PP,20.73,35.56,13.91,9.06,10.63,7.35
08107,8107,PSOE,32.58,23.88,12.08,15.73,7.02,7.3
08103,8103,PP,11.53,50.27,18.33,3.18,12.95,2.85
08034,8034,PP,18.85,39.59,14.43,8.3,11.45,5.14
08102,8102,PP,20.54,39.35,17.3,5.58,11.3,4.62
16109,16109,PSOE,27.39,16.51,20.02,15.36,10.36,7.11
08017,8017,PSOE,30.47,20.32,18.05,13.21,10.95,5.33
08019,8019,PSOE,37.21,27.03,9.98,12.89,5.41,4.78
08037,8037,PP,24.54,29.35,20.56,7.3,12.11,5.14
08142,8142,PSOE,27.06,25.06,16.46,12.59,10.85,6.48
08042,8042,PP,30.57,32.51,14.32,8.72,7.32,4.74
08040,8040,PP,23.63,35.78,17.49,8.68,8.14,4.27
08108,8108,PSOE,30.03,26.72,15.27,12.47,8.14,5.34
08106,8106,PSOE,32.15,21.27,15.19,12.91,9.11,7.34
08105,8105,PP,27.09,29.11,14.7,13.26,6.05,6.05
16116,16116,PP,20.37,26.89,23.37,9.01,11.49,7.05
08143,8143,PP,17.62,42.26,18.93,4.76,11.31,3.81
08041,8041,PSOE,30.85,27.74,14.7,9.32,7.87,7.04
08144,8144,PP,19.83,38.65,17.61,6.67,11.31,3.89
08146,8146,PP,20.09,41.38,15.94,5.71,12.17,3.04
16118,16118,PP,19.06,26.31,19.28,9.42,17.04,5.75
18031,18031,PSOE,29.55,25.3,20,12.58,6.52,4.24
10162,10162,PSOE,33.97,23.63,15.61,14.14,6.75,3.59
12093,12093,PSOE,36.46,18.46,14.07,16.19,6.51,6.05
11096,11096,PSOE,30.56,29.6,15.84,7.84,8.32,5.76
11101,11101,PSOE,27.64,24.37,15.58,17.09,6.78,5.65
13214,13214,PSOE,38.24,9.73,11.76,27.38,5.43,5.2
11177,11177,PSOE,31.97,19.01,17.25,18.13,5.17,6.43
13066,13066,PSOE,48.9,11.6,5.8,17.96,7.46,5.52
13126,13126,PSOE,45.09,11.35,10.43,19.63,7.98,3.07
13119,13119,PSOE,42.15,16.86,11.4,16.86,5.79,4.63
12096,12096,PSOE,38.01,23.98,11.22,15.82,4.85,3.83
11119,11119,PSOE,34.35,19.13,12.61,21.3,6.74,4.13
13033,13033,PSOE,34.26,14.13,12.85,24.84,5.14,6
10204,10204,PSOE,33.4,23.4,15.2,16.2,5,4.8
11174,11174,PSOE,28.53,21.85,17.48,15.42,8.48,5.4
13063,13063,PSOE,40.58,13.33,15.36,16.81,6.09,4.64
11102,11102,PSOE,33.73,20.93,13.7,15.21,7.53,6.93
12046,12046,PSOE,37.31,19.42,10.77,19.62,4.23,5.77
18044,18044,PSOE,28.66,20.76,16.02,16.97,7.48,6.95
13062,13062,PSOE,43.19,13.61,12.04,20.16,3.66,4.45
11178,11178,PSOE,36.66,20.53,19.35,15.54,2.05,4.11
11183,11183,PP,22.53,25.11,19.94,10.43,12.1,8.22
12075,12075,PSOE,38.26,15.3,14.23,18.15,5.87,5.69
10161,10161,PSOE,27.5,25.87,16.3,15.11,7.5,5.54
13216,13216,PSOE,24.74,15.07,19.75,18.71,10.71,8.42
11092,11092,PSOE,33.02,20,13.58,16.6,7.17,7.92
11118,11118,PSOE,37.09,15.89,13.47,18.54,6.4,6.4
10089,10089,PSOE,30.37,29.67,12.91,10.99,6.63,6.28
12094,12094,PSOE,31.88,20.22,16.8,15.86,6.69,5.29
13034,13034,PSOE,41.76,16.76,14.1,15.96,3.99,3.72
13059,13059,PSOE,47.7,11.38,8.67,21.41,4.61,4.07
11094,11094,PP,25.57,35.5,17.01,8.16,7.87,4.92
10163,10163,PP,31.64,37.18,14.32,9.24,2.77,3.23
11116,11116,PSOE,31.04,21.43,17.31,19.51,4.95,3.85
13061,13061,PSOE,46,13.14,13.14,16,4.57,4.29
18028,18028,PSOE,30.26,20.74,15.13,16.89,8.97,6.65
13125,13125,PSOE,43.43,11.52,8.89,22.22,4.65,7.88
11176,11176,PSOE,32.78,22.53,14.84,15.38,4.58,7.69
12051,12051,PSOE,35.33,19.38,12.68,19.93,4.17,7.43
11117,11117,PSOE,39.05,17.3,13.02,16.03,5.24,7.78
12097,12097,PSOE,32.43,28.38,14.59,12.43,6.49,2.43
10205,10205,PSOE,27.27,26.53,14.48,12.9,9.51,7.72
12074,12074,PSOE,36.65,15.84,15.22,20.81,4.04,5.59
18040,18040,PSOE,26.31,25.75,17.28,11.76,9.73,6.02
12047,12047,PSOE,40.53,19.23,15.98,14.2,5.03,3.55
13150,13150,PSOE,40.48,13.89,12.01,20.07,4.8,5.83
10164,10164,PSOE,28.59,25.2,16.48,14.86,6.3,5.49
12048,12048,PSOE,34.17,16.8,15.06,18.53,7.34,4.25
13215,13215,PSOE,38.72,14.81,12.53,20.27,5.24,5.47
13060,13060,PSOE,40.57,12.3,14.75,18.85,5.12,5.94
11175,11175,PSOE,36.3,21.43,15.16,13.7,4.81,7
13120,13120,PSOE,41.89,8.56,10.66,26.13,4.65,5.41
12073,12073,PSOE,39.7,19.1,10.75,16.12,5.67,5.37
13153,13153,PSOE,36.81,10.08,13.28,22.52,5.38,9.92
12067,12067,PSOE,35.89,18.04,13.75,18.93,6.43,3.75
11103,11103,PSOE,30.62,25.06,13.31,17.83,5.17,6.98
10091,10091,PP,26,31.46,10.19,14.48,9.01,7.09
11091,11091,PSOE,29.83,22.87,18.86,12.67,7.11,5.56
13091,13091,PSOE,39.92,13.7,8.41,23.48,6.07,5.68
11123,11123,PSOE,31.63,23,22.04,9.58,5.43,7.03
13058,13058,PSOE,41.19,14.09,12.2,22.76,4.61,2.71
11105,11105,PSOE,29.17,25.78,19.01,14.06,7.29,2.6
18039,18039,PSOE,34.06,18.74,12.73,15.94,9.21,7.35
02102,2102,PSOE,25.62,23.71,15.89,14.06,10.98,7.9
12066,12066,PSOE,33.64,21.05,12.81,16.7,5.26,8.24
13124,13124,PSOE,45.47,13.09,12.23,16.83,5.04,5.9
10094,10094,PSOE,36.21,20.37,11.32,19.34,5.14,4.32
11026,11026,PSOE,28.64,26.06,13.81,14.09,7.64,7.46
11088,11088,PSOE,34.4,20.19,12.12,17.69,8.91,5.01
11093,11093,PP,26.56,30.84,16.04,12.17,8.16,4.29
10088,10088,PSOE,35.28,28.28,12.24,12.97,4.66,5.98
11115,11115,PSOE,33.58,21.26,14.84,16.73,7.04,4.91
13121,13121,PSOE,43.03,6.73,13.7,21.63,6.97,6.25
13094,13094,PODEMOS-IU,33.93,8.05,7.28,35.3,3.77,9.25
12069,12069,PSOE,33.4,22.47,16.7,14.43,7.42,4.33
11028,11028,PP,25.38,32.88,14.82,13.97,7.33,3.75
10090,10090,PP,26.96,29.33,13.66,14.57,7.1,6.92
11114,11114,PSOE,29.86,25.27,15.72,12.72,6.01,8.48
11104,11104,PP,24.51,26.48,17.17,13.95,8.77,7.51
12049,12049,PSOE,30.29,20.52,18.4,16.94,4.89,6.51
12057,12057,PSOE,32.96,23.01,17.48,12.39,7.08,5.75
13074,13074,PSOE,34.73,10.44,9.38,27.13,6.11,9.73
13036,13036,PSOE,34.87,16.15,11.79,20.26,6.41,8.21
10092,10092,PSOE,30.42,22.76,13.57,15.97,5.03,7.22
13057,13057,PSOE,39.06,16.85,12.76,15.91,5.51,8.35
11031,11031,PSOE,30.7,29.27,17.09,11.23,5.85,4.59
13123,13123,PSOE,39.55,11.98,9.89,22.28,8.5,5.85
11110,11110,PSOE,42.31,16.59,15.14,14.9,5.53,4.57
12065,12065,PSOE,38.36,18.95,8.9,16.67,5.94,7.53
10095,10095,PSOE,34.97,29.54,9.34,10.02,8.66,5.94
10093,10093,PSOE,35.9,24.01,10.35,14.54,7.27,6.17
13155,13155,PSOE,41.38,12.98,11.46,21.5,5.38,5.17
11106,11106,PP,25,25.73,15.78,16.75,5.58,6.55
13148,13148,PSOE,38.1,13.6,10.91,25.58,3.4,6.44
12050,12050,PSOE,33.33,26.37,11.3,13.75,5.46,7.53
12107,12107,PSOE,24.65,23.33,14.23,12.99,11.67,10.64
11087,11087,PSOE,33.1,20.25,12.32,19.37,6.34,6.87
11089,11089,PSOE,33.01,24.34,14.94,13.37,5.66,6.02
13035,13035,PSOE,39.1,8.89,14.32,21.09,6.06,8.26
11113,11113,PSOE,33.02,24.81,13.8,13.49,7.44,5.74
12056,12056,PSOE,35.38,21.37,14.01,15.94,6.13,4.38
11184,11184,PP,24.75,27.18,14.16,16.17,9.73,7.15
13199,13199,PSOE,33.88,16.44,11.56,19.78,8.49,7.5
13090,13090,PSOE,34.74,14.8,11.18,24.47,4.23,9.06
11032,11032,PSOE,34.06,25.54,11.92,16.1,5.57,5.73
13122,13122,PSOE,42.21,11.75,12.23,18.47,5.28,6.47
11086,11086,PSOE,31.59,26.14,15.69,14.81,6.32,2.61
13056,13056,PSOE,37.35,11.68,13.45,25.31,4.42,4.6
13092,13092,PSOE,36.5,12.2,11.44,22.79,6.73,8.41
13156,13156,PSOE,39.13,16.52,13.48,17.83,6.96,4.35
11111,11111,PSOE,35.56,18.52,10.86,17.53,7.41,8.15
13055,13055,PSOE,45.11,15.59,10.4,18.09,2.91,4.99
13206,13206,PSOE,38.04,13.77,11.79,20.74,5.77,7.57
12052,12052,PSOE,29.17,21.33,17.17,14.5,9.33,6.5
13154,13154,PSOE,40.11,13.07,9.98,21.23,5.99,7.08
10098,10098,PSOE,39.97,19.41,12.17,14.97,6.25,4.93
10099,10099,PSOE,32.78,26.2,14.52,13.62,6.59,5.24
10096,10096,PSOE,33.33,21.12,14.36,18.48,6.77,4.29
11107,11107,PP,28.26,32.97,15.94,8.33,7.97,4.89
13146,13146,PSOE,34.5,17.74,12.67,19.88,6.04,7.02
13048,13048,PSOE,38.51,16.94,10.48,21.98,3.23,4.84
10167,10167,PSOE,31.55,17.11,13.79,18.27,9.03,8.38
12070,12070,PSOE,30.24,24.8,13.92,15.52,6.08,7.84
11109,11109,PSOE,33.99,29.08,11.2,15.72,4.72,4.52
11025,11025,PSOE,28.96,23.68,15.08,16.59,7.69,5.88
12055,12055,PSOE,33.42,17.26,14.93,17.81,6.58,8.08
13140,13140,PSOE,35.14,15.92,10.5,23.23,5.31,7.67
11108,11108,PSOE,30.59,24.31,15.29,17.45,3.73,6.47
12064,12064,PSOE,35.45,15.02,13,21.05,5.26,7.12
13131,13131,PSOE,42.25,8.21,9.12,23.71,6.38,8.21
13037,13037,PSOE,39.37,11.83,11.65,21.07,5.36,8.32
11030,11030,PSOE,34.68,22.78,15.7,14.68,4.81,6.08
11033,11033,PSOE,32.95,20.62,12.18,19.48,5.68,7.47
02093,2093,PSOE,31.93,15.53,12.5,19.82,9.28,9.18
13147,13147,PSOE,41.28,15.13,9.38,20.23,7.07,4.28
11022,11022,PSOE,30.32,20,17.2,14.39,8.28,8.54
10122,10122,PP,24.11,34.47,12.34,16.45,7.23,2.84
11023,11023,PSOE,33.03,20.55,18.35,13.21,6.42,6.61
12071,12071,PSOE,36.28,18.47,13,16.78,7.02,6.37
11112,11112,PP,27.05,29.18,16.39,12.62,7.05,6.07
13129,13129,PSOE,40.94,7.69,17.12,22.33,6.7,4.71
11083,11083,PSOE,34.22,25.58,9.63,17.28,6.31,5.98
13139,13139,PSOE,36.02,17.37,13.98,15.68,6.14,6.57
13138,13138,PSOE,34.4,9.34,15.23,27.03,4.42,7.13
18027,18027,PSOE,34.89,16.07,12.61,17.09,8.55,7.63
11082,11082,PSOE,32.22,23.15,14.32,14.56,7.16,6.21
11024,11024,PSOE,32.82,24.79,13.85,15.56,5.81,5.81
10100,10100,PP,27.66,28.63,14.12,12.77,8.7,5.8
11079,11079,PSOE,34.04,24.73,11.17,14.1,6.38,7.45
12054,12054,PP,26.38,31.1,15.88,12.2,5.64,6.3
13157,13157,PSOE,33.87,18.92,12.97,19.46,6.85,5.77
13047,13047,PSOE,36.64,10.36,13.87,20.29,8.76,7.45
11029,11029,PSOE,32.49,24.03,12.36,15.56,8.01,5.26
10214,10214,PSOE,30.25,15.01,13.24,22.56,8.85,8.47
11018,11018,PSOE,34.82,18.75,16.96,16.67,3.57,5.36
12062,12062,PSOE,30.84,17.86,12.98,23.36,5.34,6.87
02104,2104,PSOE,25.99,21.18,14.21,14.14,13.82,8.42
02100,2100,PP,22.52,26.9,13.66,15.64,10.64,8.45
10125,10125,PSOE,29.25,25.4,14.51,17.46,6.12,5.67
10113,10113,PSOE,40.31,23.56,9.42,12.57,5.24,7.33
13158,13158,PSOE,35.33,16.54,11.52,19.39,6.3,8.37
11035,11035,PSOE,35.73,17.28,11.46,17.67,7.57,7.38
13137,13137,PSOE,32.76,18.49,14.46,17.34,6.8,7.76
10123,10123,PP,31.06,32.32,12.57,8.08,8.98,5.39
13088,13088,PSOE,28.3,27.95,16.15,15.1,7.12,4.17
11034,11034,PP,24.87,27.23,13.87,18.32,7.07,5.5
13145,13145,PSOE,38.62,11.25,13.55,23.27,6.14,4.6
10112,10112,PSOE,29.98,23.57,12.81,14.65,6.18,8.92
13077,13077,PSOE,34,23.13,11.62,18.06,6.12,6.12
13038,13038,PSOE,37.98,14.24,10.09,23.74,6.82,4.15
13078,13078,PSOE,31.54,21.6,13.39,17.85,6.69,6.59
02048,2048,PSOE,26.89,20.5,14.12,17.98,7.9,10.92
02110,2110,PP,22.7,24.67,13.6,12.66,13.98,8.63
13132,13132,PSOE,39.41,9.55,11.11,26.22,4.86,6.08
11078,11078,PSOE,29.53,24.7,18.31,15.2,7.25,3.28
10101,10101,PP,22.37,32.88,16.74,10.35,10.05,5.33
11017,11017,PSOE,34.4,17.2,14.4,19.6,7.2,5.4
12059,12059,PSOE,28.5,27.85,16.76,13.34,7.04,5.76
13079,13079,PSOE,37.62,15.36,9.98,23.8,4.61,4.99
11039,11039,PSOE,30.46,18.55,15.58,14.68,7.24,9.82
10124,10124,PSOE,32.39,26.27,15.22,14.48,5.82,4.33
10109,10109,PP,24.86,35.27,14.56,10.97,6.49,6.38
13049,13049,PSOE,34.53,17.83,14.46,17.94,6.17,6.73
10086,10086,PSOE,39.16,22.29,14.71,12.54,5.11,4.33
11038,11038,PSOE,30.91,26.35,15.15,13.49,5.81,5.19
10114,10114,PSOE,39.16,14.66,16.47,15.66,5.62,5.62
13046,13046,PSOE,34.46,12.46,14.92,24.31,3.85,6.77
11016,11016,PSOE,30.74,24.9,12.26,17.51,6.23,5.64
13133,13133,PSOE,44.66,8.59,10.88,22.52,5.15,5.92
13144,13144,PSOE,36.1,17.4,14.8,20.33,4.72,4.23
13136,13136,PSOE,40,9.75,12.27,25.38,4.2,5.38
13086,13086,PSOE,34.72,20.19,9.25,20.75,6.04,6.98
11068,11068,PSOE,36.91,26,9.27,16.91,4.55,3.82
10102,10102,PP,29.83,31.98,14.8,9.55,8.11,3.58
11080,11080,PSOE,35.05,20.81,12.99,15.81,7.2,4.85
11037,11037,PSOE,29.62,23.16,17.41,13.11,7.72,7
10115,10115,PSOE,30.65,24.8,11.49,18.35,7.46,4.84
10126,10126,PSOE,32.13,24.57,11.81,15.43,7.4,6.46
13080,13080,PSOE,35.97,13.24,11.66,26.09,4.55,7.11
13134,13134,PSOE,46.41,9.63,9.46,17.51,7.01,6.13
10084,10084,PSOE,37.66,20.44,14.91,13.62,5.78,5.53
10087,10087,PP,20.71,36.43,18.14,9.57,8.14,4.57
11036,11036,PSOE,28.51,0,15.74,17.02,8.94,21.06
10121,10121,PSOE,36.32,26.01,11.96,14.95,5.83,4.04
02101,2101,PSOE,26.02,23.04,11.14,14.66,14.22,9.48
10127,10127,PSOE,35.07,23.88,11.38,13.81,7.46,5.97
11065,11065,PSOE,31.01,20.04,14.51,17.83,8.86,5.2
10108,10108,PP,30.04,30.85,15.93,10.48,6.25,5.24
13084,13084,PSOE,40.21,15.82,10.46,21.72,4.02,5.9
11081,11081,PSOE,34.67,24.41,14.15,13.87,4.72,5.83
12061,12061,PSOE,29.93,23.85,15.38,15.65,7.37,5.99
11066,11066,PSOE,31.29,13.67,23.38,17.63,6.12,6.12
13135,13135,PSOE,41.42,10.88,13.39,20.92,4.18,5.86
13039,13039,PSOE,33.51,11.17,14.99,23.98,6.54,7.9
11069,11069,PSOE,33,26.54,13.93,12.61,6.36,5.59
10107,10107,PP,27.61,34.62,12.64,11.4,8.1,4.4
13050,13050,PSOE,38.32,9.14,12.44,22.59,5.08,9.9
13198,13198,PSOE,34.3,13.6,12.16,24.46,6.08,7.81
13045,13045,PSOE,30.51,14.92,12.03,25.61,5.12,8.69
02049,2049,PSOE,25.9,23.38,12.36,14.44,12.27,9.84
11015,11015,PSOE,27.58,22.84,13.65,18.8,7.8,7.1
11040,11040,PSOE,34.28,22.68,12.11,15.21,9.02,4.38
10129,10129,PP,20.51,44.24,15.44,7.6,8.29,2.3
10083,10083,PSOE,32.7,20.16,14.44,15.53,8.17,6.27
13143,13143,PSOE,36.21,23.71,10.34,17.46,5.82,5.6
13142,13142,PSOE,38.05,13.02,12.16,23.61,4.86,5.72
11005,11005,PP,30.38,32.91,12.82,11.08,4.59,6.8
13054,13054,PSOE,32.94,14.71,14.56,23.82,5.74,6.18
13014,13014,PSOE,43.11,10.78,13.25,20.85,7.07,3.18
02046,2046,PSOE,34.43,14.87,11.11,22.38,5.16,10.8
02050,2050,PSOE,27.01,24.41,14.75,15.61,7.19,8.18
10131,10131,PP,25.86,32.61,12.36,10.06,8.91,6.9
11070,11070,PSOE,37.19,17.85,16.13,12.59,7.78,5.61
10116,10116,PP,26.4,33.26,14.53,10.58,8.49,5.7
10165,10165,PP,24.82,27.31,17.91,14.24,9.99,4.55
10128,10128,PSOE,29.78,23.98,12.65,17.39,7.38,6.85
13128,13128,PSOE,32.03,19.17,10.21,21.69,6.81,7.19
10103,10103,PSOE,34.38,22.81,15.7,14.88,5.45,4.96
11006,11006,PP,21.45,27.7,13.92,18.18,9.66,7.95
13083,13083,PSOE,32.83,19.79,12.29,20.09,5.55,6.3
13040,13040,PSOE,36.85,10.75,12.09,24.18,5.37,7.49
11075,11075,PP,27.62,31.69,14.13,13.06,7.49,4.28
10130,10130,PP,25.88,33.13,15.94,11.39,5.69,5.18
11063,11063,PSOE,34.85,19.47,16.59,15.93,5.53,6.31
11041,11041,PSOE,31.5,20.68,11.39,22.58,5.5,7.02
02103,2103,PP,20.99,27.29,16.38,8.06,16.32,8.53
11042,11042,PSOE,29.66,21.7,15.91,18.63,6.51,5.06
13160,13160,PSOE,38.07,14.21,11.07,23.76,4.57,5.99
13168,13168,PSOE,36.81,16.94,12.05,21.39,5.32,4.89
11062,11062,PSOE,31.61,18.78,13.15,19.87,5.95,8.61
12053,12053,PP,22.6,30.71,16.13,12.55,9.66,6.47
11074,11074,PSOE,33.13,20.86,13.8,16.87,5.83,6.44
11013,11013,PSOE,28.49,19.53,15.27,18.06,8.08,7.64
13053,13053,PSOE,35.13,18.22,13.01,19.7,4.28,7.43
11061,11061,PSOE,33.42,19.06,11.88,18.81,8.42,6.44
13169,13169,PSOE,34.62,19.41,12.24,19.58,5.59,6.82
02044,2044,PSOE,29.95,24.26,9.95,17.6,6.89,9.84
10134,10134,PP,19.83,41.6,14.33,9.92,7.99,3.86
10118,10118,PP,28.69,32.67,12.93,12.36,6.39,4.97
10082,10082,PSOE,30.66,20.05,12.03,21.23,6.37,8.25
10136,10136,PSOE,33.75,24.92,10.68,15.63,6.97,6.5
10002,10002,PSOE,35.33,14.67,23.67,12.33,6,4.33
19039,19039,PSOE,28.34,13.99,14.36,20.3,9.9,9.9
02045,2045,PSOE,27.24,24.19,9.68,22.22,5.91,8.6
11072,11072,PSOE,32.97,21.77,14.83,14.83,5.99,6.94
13044,13044,PSOE,37.33,14.62,11.7,21.45,4.74,6.27
11007,11007,PSOE,30.71,21.62,12.86,19.07,6.65,6.87
10154,10154,PSOE,29.46,26.35,12.66,17.22,6.22,6.02
11044,11044,PSOE,30.37,21.47,13.77,15.14,10.95,7.19
11004,11004,PP,26.83,29.55,14.94,11.78,7.09,8.51
02042,2042,PP,23.79,26.34,12.85,18.6,7.84,8.57
10135,10135,PSOE,34.63,26.62,11.9,11.04,6.71,6.06
13170,13170,PSOE,38.81,18.26,10.73,14.61,5.94,8.22
13052,13052,PSOE,31.35,17.36,12.18,23.58,4.66,8.55
11045,11045,PP,24.61,29.71,15.3,16.41,5.32,6.43
02055,2055,PSOE,27.38,25.26,12.3,14.81,7.14,10.58
10106,10106,PP,20.89,36.89,15.34,10.45,9.14,5.33
10117,10117,PP,26.32,31.82,12.97,12,7.96,6.36
13162,13162,PSOE,35.19,13.92,11.9,25.32,4.56,6.84
02043,2043,PSOE,27.81,22.46,12.48,21.57,7.49,6.77
02056,2056,PP,25.16,29.25,12.91,15.69,6.54,8.33
11003,11003,PP,24.47,30.41,18.43,10.88,7.96,6.55
11011,11011,PSOE,29.3,19.77,12.33,20.7,7.44,9.3
13041,13041,PSOE,32.15,14.06,11.59,23.65,8.19,6.49
11060,11060,PSOE,28.83,16.05,11.14,26.45,5.94,9.06
11043,11043,PP,26.48,27.78,16.3,12.59,7.04,7.59
13172,13172,PSOE,37.86,22.54,9.41,17.29,3.94,6.13
10132,10132,PP,24.53,32.02,19.33,9.15,7.9,4.78
11073,11073,PSOE,35.27,22.87,11.05,15.89,6.98,5.81
10001,10001,PSOE,29.65,18.4,14.93,20.86,6.75,7.57
11059,11059,PSOE,30.31,21.05,13.07,21.42,5.99,4.72
11071,11071,PSOE,35.56,16.69,14.12,16.56,6.16,6.55
02047,2047,PSOE,32.21,18.32,7.48,22.29,7.33,9.31
11012,11012,PSOE,31.86,20.73,13.01,17.64,6.95,8.71
13161,13161,PSOE,32.56,27.31,16.82,11.27,4.94,5.09
11002,11002,PSOE,29.19,27.82,16.44,12.86,6.32,5.27
11180,11180,PSOE,41.26,16.14,15.92,16.59,3.59,3.14
10137,10137,PSOE,31.14,22.81,12.28,18.2,7.24,5.7
14002,14002,PSOE,35.09,17.55,13.98,18.4,6.7,5.85
13171,13171,PSOE,31.45,18,14.32,22.13,6.72,5.64
11047,11047,PSOE,35.02,18.57,12.54,17.43,6.68,7.65
10065,10065,PSOE,34.86,26.49,9.73,13.51,8.38,5.41
11046,11046,PSOE,29.88,29.16,13.49,11.57,6.75,7.47
13173,13173,PSOE,42.57,19.9,10.58,18.64,4.53,2.27
13043,13043,PSOE,36.1,13.69,11.62,21.58,7.47,6.85
02051,2051,PP,24.43,25.74,13.35,17.02,6.89,10.12
10003,10003,PSOE,42.57,12.85,18.07,13.25,2.81,8.43
02040,2040,PP,24.75,25.49,12.97,18.16,8.25,7.51
02054,2054,PSOE,27.72,24.29,13.41,18.93,5.66,8.2
13163,13163,PSOE,40.98,18.21,12.26,16.29,4.03,6.3
10153,10153,PP,24.71,25.22,16.26,13.37,9.83,7.8
10158,10158,PP,8.61,36.12,33.73,5.62,9.57,3.95
19037,19037,PSOE,35.23,15.65,12.77,17.19,8.28,8.7
10063,10063,PSOE,40.47,18.77,15.54,12.9,4.55,4.55
10148,10148,PSOE,34.94,20.33,11.46,18.3,6.1,6.28
02057,2057,PSOE,28.91,25.36,11.83,18,5.39,9.2
13166,13166,PSOE,34.95,20.92,10.71,20.66,6.25,5.23
11058,11058,PSOE,37.06,17.77,13.2,19.8,7.11,3.81
02052,2052,PSOE,25.8,19.08,13.86,20.68,10.77,8.1
02098,2098,PP,21.18,22.65,17.83,15.28,13.81,8.04
10140,10140,PSOE,29.66,28.9,12.93,12.93,7.79,5.51
13196,13196,PSOE,31.98,14.97,12.94,24.4,6.65,7.02
02038,2038,PSOE,30.84,21.83,13.59,20.15,6.87,5.65
11181,11181,PSOE,35.04,22.12,12.39,14.69,7.08,6.9
11010,11010,PSOE,27.53,27.33,13.97,15.59,6.28,8.5
02037,2037,PP,22.57,31.81,13.69,14.53,8.28,6.96
10120,10120,PSOE,27.67,23.16,13.38,17.14,7.67,7.52
11057,11057,PSOE,33.26,17.41,15.4,18.97,8.48,5.36
13174,13174,PSOE,35.05,18.38,11,23.54,6.53,4.47
